file,size_mb,pages,pdf_title,pdf_author,status
cn_bridge_uav_route_planning_review_2022.pdf,1.42,8,桥检无人机的航线规划综述,刘强,ok
cn_high_voltage_insulator_defect_dl_review_2023.pdf,1.07,12,,CNKI,ok
cn_highway_uav_remote_sensing_review_2025.pdf,9.79,14,,magtech2011,ok
cn_insulator_gaussian_yolov3_uav_2021.pdf,2.03,7,标题,作者,ok
cn_mot_bridge_uav_inspection_guideline_2026.pdf,1.39,31,,书韬 李,ok
cn_powerline_detection_uav_image_review_cjig_2024.pdf,3.38,24,无人机航拍图像中电力线检测方法研究进展,"刘传洋1,2,吴一全1*,刘景景2",ok
cn_powerline_insulator_defect_dl_review_dgjsxb_2025.pdf,1.46,21,1中华人民共和国中华人民共和国中华人民共和国中华人民共和国中华人民共和国中华人民共和国中华人,q,ok
cn_powerline_major_defects_yolov5_application_2023.pdf,1.84,6,,,ok
cn_pv_hotspot_ir_uav_inspection_2026.pdf,2.51,10,红  外  技  术,ww,ok
intl_bridge_drone_enabled_methodology_2018.pdf,6.56,15,Drone-enabled bridge inspection methodology and application,"Seo, Junwon",ok
intl_bridge_fhwa_uas_inspection_report_2021.pdf,8.59,177,FHWA-HRT-21-086: Collection of Data with Unmanned Aerial Systems (UAS) for Bridge Inspection and Construction Inspection,FHWA,ok
intl_bridge_uas_comprehensive_review_mdpi_2026.pdf,1.03,41,Type of the Paper (Article,MDPI,ok
intl_bridge_uav_3d_reconstruction_2018.pdf,1.83,39,,Brittney O'Neill,ok
intl_powerline_automatic_inspection_uav_images_rs2017.pdf,5.49,19,Automatic Power Line Inspection Using UAV Images,"Yong Zhang, Xiuxiao Yuan, Wenzhuo Li and Shiyu Chen",ok
intl_powerline_autonomous_perception_mpc_iros2023.pdf,5.66,8,,,ok
intl_powerline_deep_learning_review_arxiv_2025.pdf,8.76,40,Deep Learning in Automated Power Line Inspection: A Review,Md. Ahasan Atick Faisal; Imene Mecheter; Yazan Qiblawey; Javier Hernandez Fernandez; Muhammad E. H. Chowdhury; Serkan Kiranyaz;,ok
intl_powerline_insplad_dataset_benchmark_arxiv_2023.pdf,13.73,30,,,ok
intl_powerline_uav_state_of_art_review_mdpi_2025.pdf,2.36,27,"State-of-the-Art Review on the Application of Unmanned Aerial Vehicles (UAVs) in Power Line Inspections: Current Innovations, Trends, and Future Prospects",Bongumsa Mendu and Nhlanhla Mbuli,ok
intl_pv_aerial_infrared_thermography_review_mdpi_2022.pdf,9.2,24,Automatic Inspection of Photovoltaic Power Plants Using Aerial Infrared Thermography: A Review,"Aline Kirsten Vidal de Oliveira, Mohammadreza Aghaei and Ricardo Rüther",ok
intl_pv_autonomous_drone_ir_fault_detection_mdpi_2020.pdf,20.94,16,Automatic Detection System of Deteriorated PV Modules Using Drone with Thermal Camera,"Chris Henry, Sahadev Poudel, Sang-Woong Lee and Heon Jeong",ok
intl_wind_floating_offshore_uav_sensors_2024.pdf,8.98,46,Inspection of Floating Offshore Wind Turbines Using Multi-Rotor Unmanned Aerial Vehicles: Literature Review and Trends,"Kong Zhang, Vikram Pakrashi, Jimmy Murphy and Guangbo Hao",ok
intl_wind_offshore_uav_drones_review_mdpi_2021.pdf,1.19,30,Type of the Paper (Article,MDPI,ok
